Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days)
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,"28,999","31,999",AMOLED Display,5,Elastomer,14
FOSSIL ,Smartwatch,Neutra Hybrid,Silver,"13,495","13,495",AMOLED Display,5,Stainless Steel,12
FOSSIL ,Smartwatch,Neutra Hybrid,"Brown, Black","11,995","11,995",AMOLED Display,5,Leather,12
FOSSIL ,Smartwatch,FTW1159 Hybrid,Gold,"8,995","12,995",AMOLED Display,5,Stainless Steel,2
APPLE,Smartwatch,Series 7 GPS 45 mm,Black,"44,900","44,900",OLED Retina Display,5,Silicone,1
APPLE,Smartwatch,Series 7 GPS 41 mm Aluminium Case,Black,"41,900","41,900",OLED Retina Display,5,Aluminium,1
GARMIN ,Smartwatch,Instinct,Graphite,"19,990","28,490",AMOLED Display,5,Silicone,7
GARMIN ,Smartwatch,Forerunner 745 Black,Black,"46,990","51,990",AMOLED Display,5,Silicone,14
GARMIN ,Smartwatch,vivoactive 4S 40mm,"Rose Gold, Slate Black","28,990","34,990",AMOLED Display,5,Silicone,14
FOSSIL ,Smartwatch,Carlie,Beige,"11,995","11,995",AMOLED Display,4.8,Leather,10
FOSSIL ,Smartwatch,FTW4010 Gold HR,Gold,"15,995","15,995",AMOLED Display,4.8,Stainless Steel,6
FOSSIL ,Smartwatch,FTW5011 Hybrid,Black,"8,995","14,495",AMOLED Display,4.8,Leather,2
GARMIN ,Smartwatch,Vivoactive,Black,"27,990","27,990",AMOLED Display,4.8,Silicone,14
FitBit,FitnessBand,Lunar,White ,"10,899","10,999",AMOLED Display,4.7,Silicone,7
FOSSIL ,Smartwatch,Neely,White,"8,995","13,495",AMOLED Display,4.7,Leather,1
APPLE,Smartwatch,SE 44 mm Space Grey Aluminium Case,Black,"30,400","32,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,SE 40 mm Space Grey Aluminium Case,"Black, Pink, White","27,400","29,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,SE 44 mm Gold Aluminium Case,Pink Sand,"30,400","32,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,SE GPS 44 mm Aluminium Case,Black,"32,900","32,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"52,900","52,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,Series 5 GPS + Cellular 44 mm Space Grey Aluminium Case,Black,"52,900","52,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,Series 2 - 42 mm Stainless Steel Case,White,"50,400","50,400",OLED Retina Display,4.7,Stainless Steel,1
APPLE,Smartwatch,Series 2 - 42 mm Space Black Stainless Steel Case,Space Black,"50,400","50,400",OLED Retina Display,4.7,Stainless Steel,1
APPLE,Smartwatch,SE GPS 40 mm Aluminium Case,Black,"29,900","29,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,Series 5 GPS 40 mm Silver Aluminium Case,White,"40,900","40,900",OLED Retina Display,4.7,Aluminium,1
APPLE,Smartwatch,Nike Series 5 GPS + Cellular 44 mm,Black,"52,900","52,900",OLED Retina Display,4.7,Silicone,1
APPLE,Smartwatch,42 mm White Ceramic Case with Cloud Sport,Cloud,"1,14,900","1,14,900",OLED Retina Display,4.7,Nylon,1
APPLE,Smartwatch,2 - 42 mm Silver Aluminium Case,Pearl Woven,"34,900","34,900",OLED Retina Display,4.7,Aluminium,1
GARMIN ,Smartwatch,Garmin Instinct Tactical,"Black, Brown","19,990","31,490",AMOLED Display,4.7,Silicone,7
GARMIN ,Smartwatch,Venu 2,"Black, Blue","41,990","41,990",AMOLED Display,4.7,Leather,14
GARMIN ,Smartwatch,Forerunner 935,Tidal Blue,"39,990","48,790",AMOLED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner 935,Flame Red,"33,742","48,990",OLED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner 935,"Black, Green, Yellow","42,990","42,990",OLED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner 235,Black,"18,990","22,990",LED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner 235,Blue,"24,990","31,197",LED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Instinct Solar Camo Edition,"Black, Grey","47,490","47,490",AMOLED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner 235,Black,"21,999","27,790",LED Display,4.7,Silicone,14
GARMIN ,Smartwatch,Forerunner15 Heart,Black,"12,999","14,499",AMOLED Display,4.7,Silicone,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,Black,"32,959","37,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"40,000","42,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,"34,999","37,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Black,"31,999","34,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,Black,"40,000","42,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Pink,"28,999","31,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,"Silver, Green","36,999","39,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy Classic 4,Blue,"34,999","34,999",AMOLED Display,4.6,Silicone,14
SAMSUNG ,Smartwatch,Galaxy LTE,Silver,"31,999","31,999",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy 42,Grey,"21,989","25,990",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Galaxy 42,Black,"24,989","25,990",AMOLED Display,4.6,Elastomer,14
SAMSUNG ,Smartwatch,Gear R730V S2,Grey,"18,532","22,498",AMOLED Display,4.6,Elastomer,14
FOSSIL ,Smartwatch,Carlie Hybrid,Gold,"13,495","13,495",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Jacqueline,Gold,"13,495","13,495",AMOLED Display,4.6,Leather,1
FOSSIL ,Smartwatch,Q Neely,Black,"6,995","12,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,FTW5012 Hybrid,Brown,"9,097","12,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,Q Annette,Gold,"6,995","13,495",AMOLED Display,4.6,Leather,1
FOSSIL ,Smartwatch,Barstow Hybrid,Brown,"8,995","11,995",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Gen 5E,"Grey, Multicolor","18,495","18,495",AMOLED Display,4.6,Stainless Steel,1
FOSSIL ,Smartwatch,Sport,Red,"17,995","17,995",AMOLED Display,4.6,Silicone,2
FOSSIL ,Smartwatch,Cameron Hybrid,Black,"8,995","13,495",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Cameron Hybrid Smartwatch,Blue,"13,495","13,495",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Jacqueline Hybrid,Black,"11,995","11,995",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Q Annette,Silver,"6,995","11,995",AMOLED Display,4.6,Silicone,1
FOSSIL ,Smartwatch,Machine Hybrid,"Silver, Brown","11,995","11,995",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Rose Gold Smart,Rose Gold ,"21,995","21,995",AMOLED Display,4.6,Stainless Steel,3
FOSSIL ,Smartwatch,Eleanor Hybrid,"Brown, Gold","6,995","11,995",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,FTW1146 Q Hybrid,Gold,"11,995","11,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,Jacqueline Hybrid,Blue,"6,995","11,995",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,FTW20013 Q,Black,"21,495","21,495",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,FTW5016 Hybrid,Silver,"6,995","14,495",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,FTW5017 Hybrid,Gold,"14,495","14,495",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,FTW1141 Q Hybrid,Silver,"6,995","11,995",AMOLED Display,4.6,Stainless Steel,2
